,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
1,"Please choose the correct option from the following: ""What is 161 plus 390?"" Options: A. 16957, B. 551, C. house, D. 908, E. 305, F. 5, G. banana. The answer is ","Please choose the first option from the following: ""What is 161 plus 390?"" Options: A. 16957, B. 551, C. house, D. 908, E. 305, F. 5, G. banana. The answer is ",,365,330
2,"Please choose the correct option from the following: ""What is 576 plus 770?"" Options: A. 1346, B. 792451, C. house, D. 2091, E. banana, F. 1136, G. 59. The answer is ","Please choose the first option from the following: ""What is 576 plus 770?"" Options: A. 1346, B. 792451, C. house, D. 2091, E. banana, F. 1136, G. 59. The answer is ",,330,330
3,"Please choose the correct option from the following: ""What is 377 plus 778?"" Options: A. 12, B. house, C. 406703, D. 2767, E. 1155, F. banana, G. 6901. The answer is ","Please choose the first option from the following: ""What is 377 plus 778?"" Options: A. 12, B. house, C. 406703, D. 2767, E. 1155, F. banana, G. 6901. The answer is ",,413,330
4,"Please choose the correct option from the following: ""What is 988 plus 764?"" Options: A. house, B. 1752, C. 58, D. 7332, E. 4787, F. 633243, G. banana. The answer is ","Please choose the first option from the following: ""What is 988 plus 764?"" Options: A. house, B. 1752, C. 58, D. 7332, E. 4787, F. 633243, G. banana. The answer is ",,365,330
5,"Please choose the correct option from the following: ""What is 826 plus 201?"" Options: A. 1027, B. 86, C. 657381, D. 6168, E. banana, F. house, G. 8940. The answer is ","Please choose the first option from the following: ""What is 826 plus 201?"" Options: A. 1027, B. 86, C. 657381, D. 6168, E. banana, F. house, G. 8940. The answer is ",,330,330
6,"Please choose the correct option from the following: ""What is 190 plus 290?"" Options: A. 8, B. 480, C. house, D. 83490, E. 612, F. 303, G. banana. The answer is ","Please choose the first option from the following: ""What is 190 plus 290?"" Options: A. 8, B. 480, C. house, D. 83490, E. 612, F. 303, G. banana. The answer is ",,365,330
7,"Please choose the correct option from the following: ""What is 829 plus 122?"" Options: A. banana, B. house, C. 49967, D. 9, E. 951, F. 140, G. 353. The answer is ","Please choose the first option from the following: ""What is 829 plus 122?"" Options: A. banana, B. house, C. 49967, D. 9, E. 951, F. 140, G. 353. The answer is ",,413,330
8,"Please choose the correct option from the following: ""What is 441 plus 601?"" Options: A. 463625, B. banana, C. 1042, D. 3572, E. 12, F. 7445, G. house. The answer is ","Please choose the first option from the following: ""What is 441 plus 601?"" Options: A. 463625, B. banana, C. 1042, D. 3572, E. 12, F. 7445, G. house. The answer is ",,334,330
9,"Please choose the correct option from the following: ""What is 800 plus 460?"" Options: A. banana, B. 1260, C. 5953, D. 625600, E. 40, F. 6822, G. house. The answer is ","Please choose the first option from the following: ""What is 800 plus 460?"" Options: A. banana, B. 1260, C. 5953, D. 625600, E. 40, F. 6822, G. house. The answer is ",,365,330
10,"Please choose the correct option from the following: ""What is 382 plus 931?"" Options: A. banana, B. house, C. 2015, D. 1313, E. 5221, F. 59, G. 954441. The answer is ","Please choose the first option from the following: ""What is 382 plus 931?"" Options: A. banana, B. house, C. 2015, D. 1313, E. 5221, F. 59, G. 954441. The answer is ",,384,330
11,"Please choose the correct option from the following: ""What is 130 plus 668?"" Options: A. banana, B. 54798, C. 330, D. house, E. 798, F. 3, G. 386. The answer is ","Please choose the first option from the following: ""What is 130 plus 668?"" Options: A. banana, B. 54798, C. 330, D. house, E. 798, F. 3, G. 386. The answer is ",,413,330
12,"Please choose the correct option from the following: ""What is 502 plus 772?"" Options: A. house, B. 646012, C. 3248, D. 58, E. 2438, F. 1274, G. banana. The answer is ","Please choose the first option from the following: ""What is 502 plus 772?"" Options: A. house, B. 646012, C. 3248, D. 58, E. 2438, F. 1274, G. banana. The answer is ",,401,330
13,"Please choose the correct option from the following: ""What is 794 plus 727?"" Options: A. 1521, B. 4726, C. 7837, D. banana, E. 40, F. 700727, G. house. The answer is ","Please choose the first option from the following: ""What is 794 plus 727?"" Options: A. 1521, B. 4726, C. 7837, D. banana, E. 40, F. 700727, G. house. The answer is ",,330,330
14,"Please choose the correct option from the following: ""What is 256 plus 536?"" Options: A. house, B. 792, C. banana, D. 419, E. 68873, F. 6, G. 719. The answer is ","Please choose the first option from the following: ""What is 256 plus 536?"" Options: A. house, B. 792, C. banana, D. 419, E. 68873, F. 6, G. 719. The answer is ",,365,330
15,"Please choose the correct option from the following: ""What is 655 plus 234?"" Options: A. 889, B. house, C. 86156, D. 768, E. banana, F. 311, G. 3. The answer is ","Please choose the first option from the following: ""What is 655 plus 234?"" Options: A. 889, B. house, C. 86156, D. 768, E. banana, F. 311, G. 3. The answer is ",,330,330
16,"Please choose the correct option from the following: ""What is 654 plus 800?"" Options: A. 4314, B. banana, C. 1454, D. 49, E. 3262, F. house, G. 821978. The answer is ","Please choose the first option from the following: ""What is 654 plus 800?"" Options: A. 4314, B. banana, C. 1454, D. 49, E. 3262, F. house, G. 821978. The answer is ",,334,330
17,"Please choose the correct option from the following: ""What is 822 plus 636?"" Options: A. 3215, B. 1458, C. house, D. banana, E. 788108, F. 28, G. 8046. The answer is ","Please choose the first option from the following: ""What is 822 plus 636?"" Options: A. 3215, B. 1458, C. house, D. banana, E. 788108, F. 28, G. 8046. The answer is ",,365,330
18,"Please choose the correct option from the following: ""What is 678 plus 261?"" Options: A. 9, B. 79856, C. 939, D. 169, E. banana, F. 425, G. house. The answer is ","Please choose the first option from the following: ""What is 678 plus 261?"" Options: A. 9, B. 79856, C. 939, D. 169, E. banana, F. 425, G. house. The answer is ",,334,330
19,"Please choose the correct option from the following: ""What is 836 plus 221?"" Options: A. 28, B. 1057, C. 862398, D. 6203, E. house, F. banana, G. 4016. The answer is ","Please choose the first option from the following: ""What is 836 plus 221?"" Options: A. 28, B. 1057, C. 862398, D. 6203, E. house, F. banana, G. 4016. The answer is ",,365,330
