,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
1,"Please choose the correct option from the following: ""What is 5940 plus 5702?"" Options: A. banana, B. 23621, C. 55663, D. 377, E. 11642, F. 9376038, G. house. The answer is ","Please choose the first option from the following: ""What is 5940 plus 5702?"" Options: A. banana, B. 23621, C. 55663, D. 377, E. 11642, F. 9376038, G. house. The answer is ",,413,330
2,"Please choose the correct option from the following: ""What is 7047 plus 5348?"" Options: A. 12395, B. 982, C. 3493814, D. banana, E. 20009, F. house, G. 10285. The answer is ","Please choose the first option from the following: ""What is 7047 plus 5348?"" Options: A. 12395, B. 982, C. 3493814, D. banana, E. 20009, F. house, G. 10285. The answer is ",,330,330
3,"Please choose the correct option from the following: ""What is 3401 plus 6247?"" Options: A. house, B. 9648, C. 7399, D. 67, E. 3421, F. banana, G. 856383. The answer is ","Please choose the first option from the following: ""What is 3401 plus 6247?"" Options: A. house, B. 9648, C. 7399, D. 67, E. 3421, F. banana, G. 856383. The answer is ",,365,330
4,"Please choose the correct option from the following: ""What is 8838 plus 2102?"" Options: A. 24832, B. 10940, C. 5672054, D. 537, E. banana, F. house, G. 85739. The answer is ","Please choose the first option from the following: ""What is 8838 plus 2102?"" Options: A. 24832, B. 10940, C. 5672054, D. 537, E. banana, F. house, G. 85739. The answer is ",,365,330
5,"Please choose the correct option from the following: ""What is 3370 plus 2481?"" Options: A. 6292, B. 5851, C. house, D. 3089, E. banana, F. 904819, G. 33. The answer is ","Please choose the first option from the following: ""What is 3370 plus 2481?"" Options: A. 6292, B. 5851, C. house, D. 3089, E. banana, F. 904819, G. 33. The answer is ",,365,330
6,"Please choose the correct option from the following: ""What is 7308 plus 6777?"" Options: A. 534, B. 9074681, C. 14085, D. 74776, E. banana, F. 51853, G. house. The answer is ","Please choose the first option from the following: ""What is 7308 plus 6777?"" Options: A. 534, B. 9074681, C. 14085, D. 74776, E. banana, F. 51853, G. house. The answer is ",,334,330
7,"Please choose the correct option from the following: ""What is 7782 plus 6463?"" Options: A. 28116, B. 95715, C. banana, D. 14245, E. 7428781, F. house, G. 351. The answer is ","Please choose the first option from the following: ""What is 7782 plus 6463?"" Options: A. 28116, B. 95715, C. banana, D. 14245, E. 7428781, F. house, G. 351. The answer is ",,384,330
8,"Please choose the correct option from the following: ""What is 7859 plus 9144?"" Options: A. 80614, B. house, C. 17003, D. 9933438, E. 79962, F. banana, G. 604. The answer is ","Please choose the first option from the following: ""What is 7859 plus 9144?"" Options: A. 80614, B. house, C. 17003, D. 9933438, E. 79962, F. banana, G. 604. The answer is ",,334,330
9,"Please choose the correct option from the following: ""What is 9785 plus 4770?"" Options: A. 14555, B. 8077313, C. house, D. banana, E. 694, F. 60413, G. 20959. The answer is ","Please choose the first option from the following: ""What is 9785 plus 4770?"" Options: A. 14555, B. 8077313, C. house, D. banana, E. 694, F. 60413, G. 20959. The answer is ",,330,330
10,"Please choose the correct option from the following: ""What is 9633 plus 4593?"" Options: A. house, B. 1048085, C. 40827, D. 14226, E. 21436, F. banana, G. 470. The answer is ","Please choose the first option from the following: ""What is 9633 plus 4593?"" Options: A. house, B. 1048085, C. 40827, D. 14226, E. 21436, F. banana, G. 470. The answer is ",,384,330
